,ID,FULL TEXT,CREATED AT
26,1320710428951916550,"👉ඔබට වැදගත් වන දුරකථන අංක👈
#Srilankan #Srilanka #lka #Lanka #Ceylon #DGI #Government #Information #Department #News #infodprtsl #coronavirus #covid #corona #staysafe #socialdistancing #virus #coronav #pandemic https://t.co/bbjJ3Comhw",2020-10-26 12:54:38
27,1320710422912135170,"👉ඔබට වැදගත් වන දුරකථන අංක👈
#Srilankan #Srilanka #lka #Lanka #Ceylon #DGI #Government #Information #Department #News #infodprtsl #coronavirus #covid #corona #staysafe #socialdistancing #virus #coronav #pandemic https://t.co/4qHuQ4cLWR",2020-10-26 12:54:37
28,1320708054170570752,මෙල්බර්න් දොරටු බදාදා ඇරෙයි https://t.co/2v7jyoLr6bමෙල්බර්න්-දොරටු-බදාදා-ඇරෙයි/1-581173 #news- sri lanka #feedly,2020-10-26 12:45:12
29,1320706872702193664,"👉ඔබට වැදගත් වන දුරකථන අංක👈
#Srilankan #Srilanka #lka #Lanka #Ceylon #DGI #Government #Information #Department #News #infodprtsl #coronavirus #covid #corona #staysafe #socialdistancing #virus #coronav #pandemic https://t.co/7yzBgtVxO3",2020-10-26 12:40:30
30,1320706864691048448,"👉ඔබට වැදගත් වන දුරකථන අංක👈
#Srilankan #Srilanka #lka #Lanka #Ceylon #DGI #Government #Information #Department #News #infodprtsl #coronavirus #covid #corona #staysafe #socialdistancing #virus #coronav #pandemic https://t.co/wVHPdTckRb",2020-10-26 12:40:28
31,1320706858659708930,"👉ඔබට වැදගත් වන දුරකථන අංක👈
#Srilankan #Srilanka #lka #Lanka #Ceylon #DGI #Government #Information #Department #News #infodprtsl #coronavirus #covid #corona #staysafe #socialdistancing #virus #coronav #pandemic https://t.co/DMcbsLqRJi",2020-10-26 12:40:27
32,1320706853026713601,"👉ඔබට වැදගත් වන දුරකථන අංක👈
#Srilankan #Srilanka #lka #Lanka #Ceylon #DGI #Government #Information #Department #News #infodprtsl #coronavirus #covid #corona #staysafe #socialdistancing #virus #coronav #pandemic https://t.co/cBq5NX21gd",2020-10-26 12:40:25
33,1320706843342106624,"👉ඔබට වැදගත් වන දුරකථන අංක👈
#Srilankan #Srilanka #lka #Lanka #Ceylon #DGI #Government #Information #Department #News #infodprtsl #coronavirus #covid #corona #staysafe #socialdistancing #virus #coronav #pandemic https://t.co/IHGfXbvp4u",2020-10-26 12:40:23
34,1320705680970444805,"👉ඔබට වැදගත් වන දුරකථන අංක👈
#Srilankan #Srilanka #lka #Lanka #Ceylon #DGI #Government #Information #Department #News #infodprtsl #coronavirus #covid #corona #staysafe #socialdistancing #virus #coronav #pandemic https://t.co/NWmwaIorus",2020-10-26 12:35:46
35,1320689136731213826,Oppo සමාගම විසින් කිසිඳු අමතර උපාංගයක් නොමැතිව මීටර 1ක් දක්වා නිරවද්‍යය වන  navigation තාක්ෂණයක් නිර්මාණය කරමින් සිටින බව වාර්තා වෙයි #TechNewsLK #SriLanka #News https://t.co/P14SZjxyTW,2020-10-26 11:30:02
36,1320683981038301184,කොරෝනා රෝගීන්ට ලබාදීමට ආයුර්වේද සුදර්ශන පැණිය රජයේ රෝහල් වලට https://t.co/C7UVGKTbeE #srilanka #lka #news #news #breaking #today #president,2020-10-26 11:09:32
37,1320623272871055360,නිරෝධායන ඇඳිරිනීතිය අතර තුර පිටකොටුවෙ මොකද වෙන්නේ https://t.co/xj3UW9Kldf #srilanka #lka #news #news #breaking #today #president,2020-10-26 07:08:18
38,1320623270664830976,දැන් ලංකාවේ බරපතල සංකීර්ණ තත්වයකට පත් වෙලා තියෙන්නේ https://t.co/DIzIYblEyf #srilanka #lka #news #news #breaking #today #president,2020-10-26 07:08:18
39,1320372046908436482,තම සමාගම වෙනුවෙන් නිෂ්පාදනය කරන Network Kits සඳහා චීන කොටස් භාවිතා නොකරන ලෙස Verizon සමාගම Samsung සමාගමට දැනුම් දෙයි #TechNewsLK #SriLanka #News https://t.co/8enItYrhEy,2020-10-25 14:30:01
40,1320357484645683201,"👉අද දින මේ වන විට වාර්තා වන කොවිඩ්-19 ආසාදිත රෝගීන් ගණන-263👈
#Srilankan #Srilanka #lka #Lanka #Ceylon #DGI #Government #Information #Department #News #infodprtsl #coronavirus #covid #corona #staysafe #socialdistancing #virus #coronav #pandemic https://t.co/AfpLXWiokT",2020-10-25 13:32:10
41,1320334294611443713,"Micromax සමාගම ඔවුන්ගේ නවතම ""in"" series එක ඔස්සේ නැවත ඉන්දීය smartphone වෙළෙඳපොළට ඇතුළුවීමට සූදානම් වෙයි #TechNewsLK #SriLanka #News https://t.co/OF8VZnELlR",2020-10-25 12:00:01
42,1320324993092218881,Samsung සමාගම් ජාලයෙහි සභාපතිවරයා වුනු Lee Kun-hee මහතා 78 වියෙහිදී දිවි සැරියෙන් සමුගනියි 👉https://t.co/5LjmVmgwcG #TechNewsLK #News,2020-10-25 11:23:03
43,1320012430747992064,"පාර්ලිමේන්තුවේ විශේෂ බුද්ධි ඒකකයකට අනුබද්ධ පොලිස් සැරයන්වරයෙකුට #covid19 Positive කියනවා.
#lka #news #Liveat8",2020-10-24 14:41:02
44,1319964361104871424,ලොව ප්‍රථම රැහැන් රහිත දිගුදුර බලශක්ති සම්ප්‍රේෂණ ව්‍යාපෘතිය හඳුන්වාදීමට EMROD සමාගම කටයුතු කරයි #TechNewsLK #SriLanka #News https://t.co/vCAJZMT1Yh,2020-10-24 11:30:02
